Country,SuicideRate
Albania,3.113144927
Antigua and Barbuda,0.540948917
Argentina,7.889615039
Armenia,2.452850146
Aruba,7.909907155
Australia,13.00346142
Austria,20.66149922
Azerbaijan,1.451754045
Bahamas,1.384257062
Bahrain,2.817268582
Barbados,2.926344675
Belarus,29.96246111
Belgium,20.68896984
Belize,5.144543951
Bosnia and Herzegovina,4.328097219
Brazil,4.568153904
Bulgaria,15.46451621
Cabo Verde,8.944043826
Canada,13.12260139
Chile,9.240300924
Colombia,4.672092958
Costa Rica,6.486994996
Croatia,20.00090178
Cuba,16.45856779
Cyprus,3.550066502
Czech Republic,16.48586268
Denmark,13.64318017
Dominica,0
Ecuador,5.888724809
El Salvador,9.432843792
Estonia,25.14554655
Fiji,3.676043829
Finland,23.87415368
France,19.72911334
Georgia,3.459133348
Germany,14.34286664
Greece,3.909073743
Grenada,1.59437212
Guatemala,2.565736091
Guyana,20.50085088
Hungary,29.51369449
Iceland,13.15445926
Ireland,11.40376655
Israel,6.665353626
Italy,7.685604624
Jamaica,0.44018386
Japan,21.85799615
Kazakhstan,27.02481888
Kiribati,6.790283355
Kuwait,1.720746708
Kyrgyzstan,11.5412113
Latvia,27.66299999
Lithuania,40.09883194
Luxembourg,15.46386273
Macau,7.290330106
Maldives,0.700872569
Malta,5.062872329
Mauritius,11.80535827
Mexico,3.857233097
Mongolia,15.77044204
Montenegro,8.026162558
Netherlands,10.69282848
New Zealand,14.01019211
Nicaragua,6.33630902
Norway,13.31412911
Oman,0.363127276
Panama,4.926759328
Paraguay,3.620545271
Philippines,1.935326273
Poland,15.91959862
Portugal,9.160309402
Puerto Rico,8.589955023
Qatar,2.619000275
Republic of Korea,18.63586358
Romania,12.63182797
Russia,32.67470085
Saint Kitts and Nevis,0
Saint Lucia,5.853522533
Saint Vincent and Grenadines,4.974284382
San Marino,3.964966474
Serbia,19.04582073
Seychelles,6.792869912
Singapore,10.8959695
Slovakia,12.00819341
Slovenia,26.36616283
South Africa,0.82180074
Spain,8.140659857
Sri Lanka,30.7834201
Suriname,17.84139753
Sweden,14.96595146
Switzerland,17.54362369
Thailand,6.95835771
Trinidad and Tobago,12.87073203
Turkey,2.089574284
Turkmenistan,7.669331906
Ukraine,24.71247996
United Arab Emirates,1.658626972
United Kingdom,7.874857044
United States,12.81096218
Uruguay,15.45428232
Uzbekistan,7.145124197
