Country, Year, SuicidesNo, Population, SuicidesRate, GDPCapita, Continent
Albania,1987,52,2396700,2.169649935,769, Europe
Albania,1988,63,2764300,2.279057989,833, Europe
Albania,1989,68,2803100,2.425885627,251, Europe
Albania,1992,47,2822500,1.665190434,437, Europe
Albania,1993,73,2807300,2.600363338,697, Europe
Albania,1994,50,2849300,1.754816973,835, Europe
Albania,1995,88,2903400,3.030929255,1127, Europe
Albania,1996,89,2940200,3.027004966,793, Europe
Albania,1997,170,2977300,5.70987136,899, Europe
Albania,1998,154,3012700,5.111693829,1127, Europe
Albania,1999,139,3029700,4.587912995,1299, Europe
Albania,2000,54,2796300,1.93112327,1451, Europe
Albania,2001,119,2799349,4.250988355,1573, Europe
Albania,2002,133,2818839,4.718254572,2021, Europe
Albania,2003,124,2843929,4.36016511,2544, Europe
Albania,2004,146,2874991,5.078276767,2931, Europe
Albania,2005,0,2783320,0,3235, Europe
Albania,2006,0,2780176,0,3863, Europe
Albania,2007,124,2770344,4.475978434,4672, Europe
Albania,2008,160,2757059,5.803285312,4387, Europe
Albania,2009,0,2745735,0,4359, Europe
Albania,2010,96,2736025,3.508739869,3850, North America
Antigua and Barbuda,1985,0,54865,0,4740, North America
Antigua and Barbuda,1986,0,61270,0,5595, North America
Antigua and Barbuda,1987,0,60261,0,6693, North America
Antigua and Barbuda,1988,0,59564,0,7407, North America
Antigua and Barbuda,1989,0,59238,0,7744, North America
Antigua and Barbuda,1990,1,59334,1.685374322,7976, North America
Antigua and Barbuda,1991,0,60394,0,8087, North America
Antigua and Barbuda,1992,0,61741,0,8453, North America
Antigua and Barbuda,1993,1,63315,1.579404564,9062, North America
Antigua and Barbuda,1994,0,65044,0,8636, North America
Antigua and Barbuda,1995,0,66846,0,10078, North America
Antigua and Barbuda,1998,0,72225,0,10378, North America
Antigua and Barbuda,1999,0,73832,0,11021, North America
Antigua and Barbuda,2000,2,75326,2.65512572,10468, North America
Antigua and Barbuda,2001,2,76497,2.614481614,10499, North America
Antigua and Barbuda,2002,0,77588,0,10878, North America
Antigua and Barbuda,2003,1,78658,1.271326502,11535, North America
Antigua and Barbuda,2004,2,79722,2.508717794,12649, North America
Antigua and Barbuda,2005,0,80809,0,14114, North America
Antigua and Barbuda,2006,0,81973,0,15775, North America
Antigua and Barbuda,2007,1,83131,1.202920691,16238, North America
Antigua and Barbuda,2008,0,84273,0,14335, North America
Antigua and Barbuda,2009,0,85405,0,13657, North America
Antigua and Barbuda,2012,0,88703,0,13287, North America
Antigua and Barbuda,2013,0,89779,0,14093, North America
Antigua and Barbuda,2014,0,90837,0,14853, North America
Antigua and Barbuda,2015,1,91889,1.088269543,3264, South America
Argentina,1985,1786,26727800,6.6821811,4072, South America
Argentina,1986,2284,27244400,8.383374198,4026, South America
Argentina,1987,2286,27599400,8.282788756,4458, South America
Argentina,1988,2354,28308000,8.315670482,2670, South America
Argentina,1989,2247,28702000,7.828722737,4859, South America
Argentina,1990,2140,29091100,7.356201725,6404, South America
Argentina,1991,1951,29623000,6.58609864,7615, South America
Argentina,1992,2184,30045400,7.268999581,7768, South America
Argentina,1993,2230,30477500,7.316873103,8328, South America
Argentina,1994,2241,30911200,7.249799425,8232, South America
Argentina,1995,2204,31345400,7.031334741,8563, South America
Argentina,1996,2229,31780700,7.013690699,9057, South America
Argentina,1997,2184,32333781,6.754545656,9126, South America
Argentina,1998,2347,32757259,7.164824139,8546, South America
Argentina,1999,2423,33174862,7.303722921,8462, South America
Argentina,2000,2774,33585533,8.25950864,7900, South America
Argentina,2001,3132,34010946,9.208800014,2840, South America
Argentina,2002,3162,34407507,9.189854993,3668, South America
Argentina,2003,3289,34785907,9.45497842,4683, South America
Argentina,2004,3121,35162945,8.875820839,5590, South America
Argentina,2005,3058,35550617,8.601819766,6475, South America
Argentina,2006,3108,35918886,8.652829601,7918, South America
Argentina,2007,2946,36315492,8.112240363,9843, South America
Argentina,2008,3059,36733520,8.327543889,8961, South America
Argentina,2009,2884,37158001,7.761450892,11273, South America
Argentina,2010,2943,37578454,7.831615425,13946, South America
Argentina,2011,2912,38015739,7.65998525,14203, South America
Argentina,2012,3248,38441778,8.449140932,14206, South America
Argentina,2013,2987,38859125,7.686740244,13400, South America
Argentina,2014,3231,39276555,8.226281557,14981, South America
Argentina,2015,3073,39699624,7.740627468,756, Asia
Armenia,1990,68,2651000,2.565069785,640, Asia
Armenia,1991,80,3230800,2.476166894,385, Asia
Armenia,1992,83,3308700,2.508538097,357, Asia
Armenia,1993,106,3366600,3.1485772,387, Asia
Armenia,1994,112,3402500,3.291697281,426, Asia
Armenia,1995,130,3443200,3.775557621,458, Asia
Armenia,1996,87,3486300,2.495482316,465, Asia
Armenia,1997,77,3526700,2.183344203,532, Asia
Armenia,1998,66,3558000,1.854974705,515, Asia
Armenia,1999,67,3580700,1.871142514,530, Asia
Armenia,2000,61,3606500,1.691390545,587, Asia
Armenia,2001,60,3610516,1.661812328,788, Asia
Armenia,2002,74,3014844,2.454521693,928, Asia
Armenia,2003,59,3024366,1.95082209,2310, Asia
Armenia,2006,78,2764396,2.821592854,3366, Asia
Armenia,2007,71,2735313,2.595681006,3829, Asia
Armenia,2008,63,3045391,2.068699881,3215, Asia
Armenia,2009,53,2689695,1.970483642,3460, Asia
Armenia,2010,73,2676225,2.727722819,3798, Asia
Armenia,2011,67,2670366,2.509019363,3773, Asia
Armenia,2012,79,2814300,2.80709235,3957, Asia
Armenia,2013,67,2810664,2.383778353,4142, Asia
Armenia,2014,58,2803029,2.069190151,3775, Asia
Armenia,2015,74,2795335,2.64726768,3788, Asia
Armenia,2016,67,2400033,2.791628282,17949, North America
Aruba,1995,6,72692,8.254003192,21027, North America
Aruba,1999,9,81934,10.9844509,22333, North America
Aruba,2000,10,83888,11.92065611,22317, North America
Aruba,2001,4,86045,4.648730316,21987, North America
Aruba,2002,9,88284,10.19437271,22345, North America
Aruba,2003,2,90457,2.21099528,24133, North America
Aruba,2004,8,92335,8.664103536,24870, North America
Aruba,2005,10,93728,10.66917037,25622, North America
Aruba,2006,9,94508,9.523003344,27672, North America
Aruba,2007,8,94814,8.43757251,29447, North America
Aruba,2008,4,94814,4.218786255,26361, North America
Aruba,2009,4,94795,4.219631837,25974, North America
Aruba,2010,7,95006,7.367955708,27066, North America
Aruba,2011,9,95488,9.425268097,12374, Oceania
Australia,1985,1794,14343500,12.50740754,12288, Oceania
Australia,1986,2044,14809800,13.80167187,12564, Oceania
Australia,1987,2164,15046500,14.38208221,15393, Oceania
Australia,1988,2172,15312100,14.18486034,19223, Oceania
Australia,1989,2066,15570600,13.26859594,19665, Oceania
